hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
04/30/2019 12:00:00 AM,Brooklyn Bridge,3,3,0,,,,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/31/2019 10:00:00 PM,Brooklyn Bridge,10,9,1,cloudy,42,0.0005,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/31/2019 11:00:00 PM,Brooklyn Bridge,2,0,2,cloudy,42,0.0004,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/31/2019 09:00:00 PM,Brooklyn Bridge,12,0,12,cloudy,42,0.0036,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/01/2019 03:00:00 AM,Brooklyn Bridge,1,0,1,clear-night,36,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/25/2019 02:00:00 PM,Brooklyn Bridge,3171,1685,1486,clear-day,44,0,40.7081639691088,-73.9995087014816,Christmas Day,"(40.7081639691088, -73.9995087014816)"
01/27/2019 09:00:00 PM,Brooklyn Bridge,13,5,8,partly-cloudy-night,41,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/07/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,cloudy,39,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/03/2019 09:00:00 PM,Brooklyn Bridge,9,7,2,partly-cloudy-night,36,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/13/2019 09:00:00 AM,Brooklyn Bridge,520,281,239,partly-cloudy-day,76,0.0087,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/31/2019 02:00:00 AM,Brooklyn Bridge,2,1,1,clear-night,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/04/2019 06:00:00 AM,Brooklyn Bridge,125,66,59,clear-night,35,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/24/2019 07:00:00 PM,Brooklyn Bridge,2627,1142,1485,partly-cloudy-day,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/02/2019 03:00:00 PM,Brooklyn Bridge,1601,730,871,partly-cloudy-day,48,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/02/2019 09:00:00 PM,Brooklyn Bridge,22,21,1,cloudy,32,0.0037,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/06/2019 09:00:00 PM,Brooklyn Bridge,36,15,21,cloudy,57,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/22/2019 03:00:00 PM,Brooklyn Bridge,2708,1447,1261,clear-day,41,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/15/2019 01:00:00 PM,Brooklyn Bridge,2270,1020,1250,partly-cloudy-day,81,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/25/2019 02:00:00 AM,Brooklyn Bridge,3,1,2,partly-cloudy-night,42,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
